skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
DruSummon6	595		drudesc6		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon6	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon6	596		assdesc6		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon6	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon7	597		amadesc7		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon7	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon7	598		sordesc7		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon7	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon7	599		necdesc7		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon7	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon7	600		paldesc7		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon7	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon7	601		bardesc7		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon7	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon7	602		drudesc7		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon7	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon7	603		assdesc7		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon7	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon8	604		amadesc8		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon8	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon8	605		sordesc8		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon8	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon8	606		necdesc8		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon8	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon8	607		paldesc8		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon8	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon8	608		bardesc8		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon8	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon8	609		drudesc8		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon8	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon8	610		assdesc8		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon8	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AmaSummon9	611		amadesc9		49																			amastate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										amamon9	amasum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
SorSummon9	612		sordesc9		49																			sorstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										sormon9	sorsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
NecSummon9	613		necdesc9		49																			necstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										necmon9	necsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
PalSummon9	614		paldesc9		49																			palstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										palmon9	palsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
BarSummon9	615		bardesc9		49																			barstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										barmon9	barsum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
DruSummon9	616		drudesc9		49																			drustate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										drumon9	drusum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
AssSummon9	617		assdesc9		49																			assstate				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																																										assmon9	asssum	1	NU																																															0	0		none												SC	SC	xx				1	4																									1									1						1	1					1	7	54	1	1	1																						15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level													1								8																																						0
