description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Reroll Unique		1				100	15	419	5		3	Z01	The Gladiator's Bane	isc					useitem	99			JB-Rare			-5	-5																					The Gladiator's Bane	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Balled Lightning	isc					useitem	99			JB-Rare			-5	-5																					Balled Lightning	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Giant Crusher	isc					useitem	99			JB-Rare			-5	-5																					Giant Crusher	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Chained Lightning	isc					useitem	99			JB-Rare			-5	-5																					Chained Lightning	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Savitr's Garb	isc					useitem	99			JB-Rare			-5	-5																					Savitr's Garb	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Arkaine's Valor	isc					useitem	99			JB-Rare			-5	-5																					Arkaine's Valor	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Strength Unleashed	isc					useitem	99			JB-Rare			-5	-5																					Strength Unleashed	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Leviathan	isc					useitem	99			JB-Rare			-5	-5																					Leviathan	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Duality	isc					useitem	99			JB-Rare			-5	-5																					Duality	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Steel Carapice	isc					useitem	99			JB-Rare			-5	-5																					Steel Carapice	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Tyrael's Might	isc					useitem	99			JB-Rare			-5	-5																					Tyrael's Might	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spiritual Protector	isc					useitem	99			JB-Rare			-5	-5																					Spiritual Protector	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Cleansing Ward	isc					useitem	99			JB-Rare			-5	-5																					Cleansing Ward	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Blackoak Shield	isc					useitem	99			JB-Rare			-5	-5																					Blackoak Shield	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Astrogha's Web	isc					useitem	99			JB-Rare			-5	-5																					Astrogha's Web	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Stormshield	isc					useitem	99			JB-Rare			-5	-5																					Stormshield	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Medusa's Gaze	isc					useitem	99			JB-Rare			-5	-5																					Medusa's Gaze	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spirit Ward	isc					useitem	99			JB-Rare			-5	-5																					Spirit Ward	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Indra's Mark	isc					useitem	99			JB-Rare			-5	-5																					Indra's Mark	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Dracul's Grasp	isc					useitem	99			JB-Rare			-5	-5																					Dracul's Grasp	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Souldrain	isc					useitem	99			JB-Rare			-5	-5																					Souldrain	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Carthas's Presence	isc					useitem	99			JB-Rare			-5	-5																					Carthas's Presence	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Steelrend	isc					useitem	99			JB-Rare			-5	-5																					Steelrend	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Mana Wyrm	isc					useitem	99			JB-Rare			-5	-5																					Mana Wyrm	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Sandstorm Trek	isc					useitem	99			JB-Rare			-5	-5																					Sandstorm Trek	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Marrowwalk	isc					useitem	99			JB-Rare			-5	-5																					Marrowwalk	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Crimson Shift	isc					useitem	99			JB-Rare			-5	-5																					Crimson Shift	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Lelantus's Frenzy	isc					useitem	99			JB-Rare			-5	-5																					Lelantus's Frenzy	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Arachnid Mesh	isc					useitem	99			JB-Rare			-5	-5																					Arachnid Mesh	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Nosferatu's Coil	isc					useitem	99			JB-Rare			-5	-5																					Nosferatu's Coil	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Verdugo's Hearty Cord	isc					useitem	99			JB-Rare			-5	-5																					Verdugo's Hearty Cord	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Magni's Warband	isc					useitem	99			JB-Rare			-5	-5																					Magni's Warband	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Arcanist's Safeguard	isc					useitem	99			JB-Rare			-5	-5																					Arcanist's Safeguard	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Giantskull	isc					useitem	99			JB-Rare			-5	-5																					Giantskull	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Headhunter's Glory	isc					useitem	99			JB-Rare			-5	-5																					Headhunter's Glory	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Spike Thorn	isc					useitem	99			JB-Rare			-5	-5																					Spike Thorn	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Flame of Combat	isc					useitem	99			JB-Rare			-5	-5																					Flame of Combat	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Mystic Command	isc					useitem	99			JB-Rare			-5	-5																					Mystic Command	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rama's Protector	isc					useitem	99			JB-Rare			-5	-5																					Rama's Protector	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Snow Spirit	isc					useitem	99			JB-Rare			-5	-5																					Snow Spirit	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Efreeti's Fury	isc					useitem	99			JB-Rare			-5	-5																					Efreeti's Fury	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Combat Visor	isc					useitem	99			JB-Rare			-5	-5																					Combat Visor	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Strength of Pride	isc					useitem	99			JB-Rare			-5	-5																					Strength of Pride	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Fighter's Stance	isc					useitem	99			JB-Rare			-5	-5																					Fighter's Stance	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Piercing Cold	isc					useitem	99			JB-Rare			-5	-5																					Piercing Cold	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Arreat's Face	isc					useitem	99			JB-Rare			-5	-5																					Arreat's Face	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Fara's Defender	isc					useitem	99			JB-Rare			-5	-5																					Fara's Defender	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Rakkis's Guard	isc					useitem	99			JB-Rare			-5	-5																					Rakkis's Guard	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Assaulter's Armament	isc					useitem	99			JB-Rare			-5	-5																					Assaulter's Armament	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Herald of Zakarum	isc					useitem	99			JB-Rare			-5	-5																					Herald of Zakarum	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Blackheart's Barrage	isc					useitem	99			JB-Rare			-5	-5																					Blackheart's Barrage	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Mehtan's Carrion	isc					useitem	99			JB-Rare			-5	-5																					Mehtan's Carrion	99																												isc																													0
Reroll Unique		1				100	15	419	5		3	Z01	Venom Storm	isc					useitem	99			JB-Rare			-5	-5																					Venom Storm	99																												isc																													0
